common_name,scientific_name,scientific_name_url,species_grp,global_conservation_status_rank,state_conservation_status_rank,federal_legal_status,state_legal_status,statewide_occurrences,virginia_coastal_zone
Roanoke Logperch,Percina rex,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102785,FISH,G1G2,S1S2,LE,LE,21,N
A Mirid Bug,Bothynotus johnstoni,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.117688,FISH,G3,S1S3,None,None,1,Y
Carolina Thread-legged Bug,Ploiaria carolina,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.110782,FISH,G4?,S1S3,None,None,1,Y
Brimley's Assassin Bug,Pnirontis brimleyi,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.120172,FISH,G2,S1S3,SOC,None,1,Y
Seashore Mirid Bug,Pycnoderiella virginiana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.114227,FISH,GU,SU,None,None,1,Y
Rusty-patched Bumblebee,Bombus affinis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.108845,INVERTEBRATE,G2,S1,LE,PE,52,Y
Southern Plains bumble bee,Bombus fraternus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.832125,INVERTEBRATE,G2G4,S1S2,None,None,6,Y
Cane Boring Moth,Acrapex relicta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.114309,INVERTEBRATE,G4,S2S3,None,None,1,Y
Dusky Roadside Skipper,Amblyscirtes alternata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.114517,INVERTEBRATE,G2G3,SH,SOC,None,1,Y
A Cane Moth,Argillophora furcilla,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.119264,INVERTEBRATE,G3G4,S1S3,None,None,2,Y
Little Metalmark,Calephelis virginiensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.111394,INVERTEBRATE,G4,SH,None,None,10,Y
Hessel's Hairstreak,Callophrys hesseli,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.110485,INVERTEBRATE,G3,S1,None,None,2,Y
Frosted Elfin,Callophrys irus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.116737,INVERTEBRATE,G2G3,S1S2,SOC,None,25,Y
Giant gray Moth,Cymatophora approximaria,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.118963,INVERTEBRATE,G4G5,S1S3,None,None,1,Y
Two-spotted Skipper,Euphyes bimacula,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.114898,INVERTEBRATE,G4,S2,None,None,10,Y
Black Dash,Euphyes conspicua,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.109995,INVERTEBRATE,G4G5,SH,None,None,3,Y
Dukes' Skipper,Euphyes dukesi,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.120478,INVERTEBRATE,G3G4,S2,None,None,13,Y
Palatka Skipper,Euphyes pilatka,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.111309,INVERTEBRATE,G3,S1,None,None,2,Y
A Cane Moth,Franclemontia interrogans,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.121118,INVERTEBRATE,G3G4,S1S3,None,None,1,Y
A Prominent Moth,Heterocampa astarte,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.117813,INVERTEBRATE,G4?,S1S2,None,None,1,Y
Yucca Giant Skipper,Megathymus yuccae,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.108181,INVERTEBRATE,G5,SH,None,None,2,Y
A Noctuid Moth,Metria amella,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.118778,INVERTEBRATE,G5,S1S2,None,None,1,Y
Helicta satyr,Neonympha helicta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.754298,INVERTEBRATE,G3G4,S2,None,None,12,Y
Southeastern Cane Borer Moth,Papaipema sp. 3,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.109329,INVERTEBRATE,G4,S2S3,None,None,4,Y
Rare Skipper,Problema bulenta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.120878,INVERTEBRATE,G3,S1S2,None,None,7,Y
A Noctuid Moth,Protodeltote sp. 1,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.112358,INVERTEBRATE,G1G3,S1S2,SOC,None,1,Y
Yellow-edged Pygarctia Moth,Pygarctia abdominalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.112254,INVERTEBRATE,G3,S1S2,None,None,1,Y
King's Hairstreak,Satyrium kingi,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.115680,INVERTEBRATE,G3G4,S2S3,None,None,8,Y
Franck's Sphinx,Sphinx franckii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.112650,INVERTEBRATE,G4G5,S2S3,None,None,9,Y
Eastern Big-eared Bat,Corynorhinus rafinesquii macrotis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.100478,MAMMALS,G3G4T3,S2,None,LE,44,Y
Southeastern Myotis,Myotis austroriparius,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.104595,MAMMALS,G4,S2,None,None,13,Y
Little Brown Myotis,Myotis lucifugus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.100473,MAMMALS,G3G4,S1S3,None,LE,10,N
Northern long-eared Myotis,Myotis septentrionalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102615,MAMMALS,G2G3,S1S3,LT,LT,63,Y
Tricolored bat (=Eastern pipistrelle),Perimyotis subflavus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102580,MAMMALS,G3G4,S1S3,None,LE,41,Y
A moss,Campylopus carolinae,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.123135,MAMMALS,G2,S1,SOC,None,2,Y
A moss,Campylopus surinamensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.124424,MAMMALS,G4G5,S1,None,None,2,Y
A liverwort,Frullania caulisequa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1030224,MAMMALS,G5,SH,None,None,2,Y
A ruffle lichen,Parmotrema louisianae,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.121630,MAMMALS,G3G5,S1,None,None,3,Y
Lurking Leskea,Plagiothecium latebricola,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.126959,MAMMALS,G3G4,SH,None,None,1,Y
A Moss,Schlotheimia rugifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.123751,MAMMALS,G3G5,SH,None,None,1,Y
Large-leaf Peatmoss,Sphagnum macrophyllum var. macrophyllum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.126087,MAMMALS,G5T3?,S2,None,None,6,Y
A Moss,Syrrhopodon incompletus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.124341,MAMMALS,G5,SH,None,None,1,Y
Regal Darner,Coryphaeschna ingens,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.113580,MAMMALS,G5,S1,None,None,1,N
Pale Bluet,Enallagma pallidum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.112916,MAMMALS,G4,S1S2,None,None,2,Y
Mantled Baskettail,Epitheca semiaquea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.119253,MAMMALS,G5,S1,None,None,2,Y
Marl pennant,Macrodiplax balteata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.119184,MAMMALS,G5,S1,None,None,1,Y
Fine-lined Emerald,Somatochlora filosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.111008,MAMMALS,G5,S2,None,None,13,Y
Treetop Emerald,Somatochlora provocans,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.109431,MAMMALS,G4,S2,None,None,6,Y
Swamp Forestfly,Prostoia hallasi,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.119686,OTHER,G3,S1S3,None,None,3,Y
Loggerhead (Sea Turtle),Caretta caretta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.105239,REPTILES,G3,"S1B,S1N",LT,LT,4,Y
Canebrake Rattlesnake,Crotalus horridus [Coastal Plain population],https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.858493,REPTILES,G4T4Q,S1,None,LE,19,Y
Chicken Turtle,Deirochelys reticularia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.101923,REPTILES,G5,S1,None,LE,2,Y
