common_name,scientific_name,scientific_name_url,species_grp,global_conservation_status_rank,state_conservation_status_rank,federal_legal_status,state_legal_status,statewide_occurrences,virginia_coastal_zone
Common bog-buttons,Lachnocaulon anceps,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.143159,VASCULAR PLANTS,G5,S1,None,None,17,Y
Mountain Hairgrass,Leptoloma cognatum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141163,VASCULAR PLANTS,G5T5,S1,None,None,6,N
Carolina Lilaeopsis,Lilaeopsis carolinensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141492,VASCULAR PLANTS,G3G5,S1,None,None,13,Y
Pine lily,Lilium catesbaei,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129779,VASCULAR PLANTS,G4,S1,None,None,4,Y
sandhills bog lily,Lilium pyrophilum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.161333,VASCULAR PLANTS,G2,S1,SOC,None,8,Y
Mudwort,Limosella australis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.153341,VASCULAR PLANTS,G5,SH,None,None,1,Y
Bog twayblade,Liparis loeselii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146901,VASCULAR PLANTS,G5,S2,None,None,30,Y
Virginia false gromwell,Lithospermum virginianum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129500,VASCULAR PLANTS,G4,S2,None,None,16,N
Pondspice,Litsea aestivalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.136111,VASCULAR PLANTS,G3?,S1,None,None,3,Y
Long-leaf lobelia,Lobelia elongata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.133807,VASCULAR PLANTS,G4G5,S1,None,None,7,Y
Winged Seedbox,Ludwigia alata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154312,VASCULAR PLANTS,G3G5,S1,None,None,7,Y
Long Beach Seedbox,Ludwigia brevipes,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.149323,VASCULAR PLANTS,G2,S2,SOC,None,15,Y
Rafinesque's seedbox,Ludwigia hirtella,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154442,VASCULAR PLANTS,G5,S2,None,None,22,Y
Hairy Seedbox,Ludwigia pilosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.135067,VASCULAR PLANTS,G5,S1,None,None,4,Y
Raven's Seedbox,Ludwigia ravenii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.159218,VASCULAR PLANTS,G1G2,S1,SOC,PE,11,Y
Savanna Seedbox,Ludwigia virgata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.155975,VASCULAR PLANTS,G5,SH,None,None,1,Y
Southern Winged loosestrife,Lythrum lanceolatum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.144636,VASCULAR PLANTS,G5T5,S1,None,None,4,Y
Appalachian Adder's-mouth,Malaxis bayardii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.145455,VASCULAR PLANTS,G1G2,SH,SOC,None,4,Y
Shade Mudflower,Micranthemum umbrosum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.136384,VASCULAR PLANTS,G5,S2,None,None,8,N
Carolina sandwort,Minuartia caroliniana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.137354,VASCULAR PLANTS,G5,SH,None,None,1,Y
Lax Hornpod,Mitreola petiolata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154738,VASCULAR PLANTS,G5,S1,None,None,10,Y
Dwarf wax myrtle,Morella pumila,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.135313,VASCULAR PLANTS,G5TNR,S1,None,None,4,Y
Loose water-milfoil,Myriophyllum laxum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.139527,VASCULAR PLANTS,G3,SH,None,None,1,Y
Slender Rattlesnake-root,Nabalus autumnalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.160774,VASCULAR PLANTS,G4G5,S1,None,None,10,Y
Narrow-leaved Spatterdock,Nuphar sagittifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.152774,VASCULAR PLANTS,G5T2,S1,SOC,LT,2,Y
Riverbank evening-primrose,Oenothera riparia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.728470,VASCULAR PLANTS,G2G3,S1S2,SOC,None,1,Y
Bosc's Bluets,Oldenlandia boscii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141616,VASCULAR PLANTS,G5,S1,None,None,7,N
Long-stem adder's-tongue,Ophioglossum petiolatum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.133123,VASCULAR PLANTS,G5,S1,None,None,3,Y
Pitchfork Paspalum,Paspalum bifidum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.130266,VASCULAR PLANTS,G5,SH,None,None,2,N
Walter's paspalum,Paspalum dissectum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132842,VASCULAR PLANTS,G4?,S2,None,None,14,Y
Joint Paspalum,Paspalum distichum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.147763,VASCULAR PLANTS,G5,S1,None,None,6,Y
Early Paspalum,Paspalum praecox,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.151995,VASCULAR PLANTS,G4,S1,None,None,4,Y
Southern beard-tongue,Penstemon australis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148179,VASCULAR PLANTS,G5,S1?,None,None,6,N
Downy Phlox,Phlox pilosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.133873,VASCULAR PLANTS,G5,S1,None,None,11,Y
Sawtooth frogfruit,Phyla nodiflora var. nodiflora,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.151166,VASCULAR PLANTS,G5TNR,S1,None,None,4,Y
Longleaf pine,Pinus palustris,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.152746,VASCULAR PLANTS,G5,S1,None,None,9,Y
Small white fringed orchid,Platanthera blephariglottis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.142013,VASCULAR PLANTS,G5,S2,None,None,14,Y
October-flower,Polygonella polygama,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.140480,VASCULAR PLANTS,G4,S1,None,None,1,Y
Beach plum,Prunus maritima,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146886,VASCULAR PLANTS,G4,S1?,None,None,2,Y
Awned Mountain-mint,Pycnanthemum setosum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148592,VASCULAR PLANTS,G4,S1,None,None,4,Y
Torrey's Mountain-mint,Pycnanthemum torreyi,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141413,VASCULAR PLANTS,G2,S2,SOC,PT,20,N
Common pyxie-moss,Pyxidanthera barbulata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.158139,VASCULAR PLANTS,G4,S1,None,None,4,Y
Sand laurel oak,Quercus hemisphaerica,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.128349,VASCULAR PLANTS,G5,S1,None,None,6,Y
Bluejack oak,Quercus incana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132247,VASCULAR PLANTS,G5,S2,None,None,16,Y
Dwarf Chinquapin Oak,Quercus prinoides,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.131048,VASCULAR PLANTS,G5,S1,None,None,25,Y
Ivy-leaved water crowfoot,Ranunculus hederaceus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146813,VASCULAR PLANTS,G5,SH,None,None,8,Y
Mississippi Buttercup,Ranunculus laxicaulis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.157688,VASCULAR PLANTS,G5?,SH,None,None,4,N
Fringed meadow beauty,Rhexia petiolata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132645,VASCULAR PLANTS,G5?,S1,None,None,11,Y
Small bunched beaksedge,Rhynchospora cephalantha var. attenuata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.131116,VASCULAR PLANTS,G5T3?,S1,None,None,7,N
Narrow-leaf whitetop sedge,Rhynchospora colorata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.145768,VASCULAR PLANTS,G5,S1,None,None,3,Y
Savanna beaksedge,Rhynchospora debilis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.135431,VASCULAR PLANTS,G4?,S1,None,None,11,Y
Narrow-fruited Fasciculate Beaksedge,Rhynchospora distans,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.140943,VASCULAR PLANTS,G5T4?,S1,None,None,1,Y
Fasciculate Beaksedge,Rhynchospora fascicularis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129875,VASCULAR PLANTS,G5,S2,None,None,8,Y
Thread-leaved beaksedge,Rhynchospora filifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.147671,VASCULAR PLANTS,G5,SH,None,None,1,N
Short-beaked beaksedge,Rhynchospora nitens,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.131984,VASCULAR PLANTS,G4?,SH,None,None,3,N
Pale beaksedge,Rhynchospora pallida,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.134948,VASCULAR PLANTS,G3,SX,None,None,1,Y
Long-beaked beaksedge,Rhynchospora scirpoides,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.143935,VASCULAR PLANTS,G4,S1,None,None,5,Y
Coastal bog beaksedge,Rhynchospora stenophylla,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141923,VASCULAR PLANTS,G4,S1,None,None,1,N
Wright's beaksedge,Rhynchospora wrightiana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.128307,VASCULAR PLANTS,G5,S1,None,None,3,Y
Lake Cress,Rorippa aquatica,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150383,VASCULAR PLANTS,G4?,SH,None,None,1,N
Northern Cut-leaf Coneflower,Rudbeckia laciniata var. bipinnata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.128212,VASCULAR PLANTS,G5TNR,S1,None,None,4,Y
Slender Marsh-pink,Sabatia campanulata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.152525,VASCULAR PLANTS,G5,S2,None,None,21,Y
Lance-leaved rose-gentian,Sabatia difformis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.147232,VASCULAR PLANTS,G4G5,S1,None,None,4,N
Engelmann's arrowhead,Sagittaria engelmanniana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.145956,VASCULAR PLANTS,G5?,SH,None,None,1,Y
Tidal arrowhead,Sagittaria spatulata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.160865,VASCULAR PLANTS,G5T4,S1,None,None,1,Y
Yellow Pitcher plant,Sarracenia flava,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.160353,VASCULAR PLANTS,G5?,S1,None,None,21,Y
Purple pitcher plant,Sarracenia purpurea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.949755,VASCULAR PLANTS,G5,S2,None,None,40,Y
Reclining Bulrush,Scirpus flaccidifolius,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132746,VASCULAR PLANTS,G2,S1S2,SOC,LT,6,N
Hairy nutrush,Scleria ciliata var. ciliata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.155728,VASCULAR PLANTS,G5TNR,S1,None,None,11,N
Slender Nutrush,Scleria minor,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141684,VASCULAR PLANTS,G4,S2,None,None,25,Y
Whorled Nutrush,Scleria verticillata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.139233,VASCULAR PLANTS,G5,S2,None,None,8,Y
One-flowered sclerolepis,Sclerolepis uniflora,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.149204,VASCULAR PLANTS,G4,S1,None,None,2,Y
Hoary Skullcap,Scutellaria incana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.161118,VASCULAR PLANTS,G5,S2,None,None,13,Y
Senna seymeria,Seymeria cassioides,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129503,VASCULAR PLANTS,G5,S1S2,None,None,7,Y
Elliott's sida,Sida elliottii var. elliottii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.887461,VASCULAR PLANTS,G4G5TNR,S1,None,None,4,N
White Blue-eyed-grass,Sisyrinchium albidum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.153920,VASCULAR PLANTS,G5?,S2,None,None,17,Y
Elliott's goldenrod,Solidago latissimifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.151147,VASCULAR PLANTS,G5,S2,None,None,13,Y
Pine barren bog goldenrod,Solidago stricta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.144881,VASCULAR PLANTS,G5,S1,None,None,4,N
Twisted-leaf goldenrod,Solidago tortifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148292,VASCULAR PLANTS,G4G5,S1,None,None,10,Y
Freshwater Cordgrass,Spartina pectinata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.144026,VASCULAR PLANTS,G5,S2,None,None,20,Y
Rough-fruit scale-seed,Spermolepis divaricata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1208163,VASCULAR PLANTS,GNR,S1?,None,None,1,N
Long-leaf wedgegrass,Sphenopholis filiformis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.157141,VASCULAR PLANTS,G4?,S1,None,None,3,Y
Eaton's Ladies'-tresses,Spiranthes eatonii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141723,VASCULAR PLANTS,G3Q,S1,None,None,3,Y
Rough Hedge-nettle,Stachys aspera,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.758607,VASCULAR PLANTS,G4?,S2,None,None,5,Y
Gaping Panic Grass,Steinchisma hians,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.135121,VASCULAR PLANTS,G5,S1,None,None,7,N
Trailing Loosestrife,Steironema radicans,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.156929,VASCULAR PLANTS,G4G5,SH,None,None,4,N
Dense-flowered camas,Stenanthium densum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.157875,VASCULAR PLANTS,G5,S1,None,None,4,Y
Mountain Camellia,Stewartia ovata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148162,VASCULAR PLANTS,G4,S2,None,None,13,Y
Queen's-delight,Stillingia sylvatica ssp. sylvatica,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150467,VASCULAR PLANTS,G5T5,S1,None,None,4,Y
Pineland scalypink,Stipulicida setacea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148818,VASCULAR PLANTS,G4G5,S1,None,None,5,Y
Elliott's Aster,Symphyotrichum elliottii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.152459,VASCULAR PLANTS,G4,S1,None,None,4,Y
Pondcypress,Taxodium ascendens,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141602,VASCULAR PLANTS,G5,S1,None,None,2,Y
Spanish-moss,Tillandsia usneoides,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132985,VASCULAR PLANTS,G5,S1S2,None,None,19,Y
Lesser marsh St. John's-wort,Triadenum tubulosum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.138392,VASCULAR PLANTS,G4?,S2,None,None,20,Y
Coastal false asphodel,Triantha racemosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150690,VASCULAR PLANTS,G5,SH,None,None,4,Y
Narrow-leaf blue curls,Trichostema setaceum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132170,VASCULAR PLANTS,G5,S2,None,None,20,N
Chapman's purpletop,Tridens chapmanii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.143576,VASCULAR PLANTS,G5T3,S1,None,None,7,Y
Virginia Least Trillium,Trillium pusillum var. virginianum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1133320,VASCULAR PLANTS,G4T3,S2,None,None,36,Y
Southern Bladderwort,Utricularia juncea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.139431,VASCULAR PLANTS,G5,S1,None,None,11,N
Dwarf bladderwort,Utricularia olivacea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150620,VASCULAR PLANTS,G4,SH,None,None,1,Y
Purple Bladderwort,Utricularia purpurea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141236,VASCULAR PLANTS,G5,S2,None,None,15,Y
Fibrous Bladderwort,Utricularia striata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.861153,VASCULAR PLANTS,G4G5,S1,None,None,4,Y
Creeping Blueberry,Vaccinium crassifolium,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129705,VASCULAR PLANTS,G4G5,S1,None,None,5,Y
Large Cranberry,Vaccinium macrocarpon,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.144597,VASCULAR PLANTS,G5,S2,None,None,17,Y
Rough vervain,Verbena scabra,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.128773,VASCULAR PLANTS,G5,S1,None,None,13,Y
American Wisteria,Wisteria frutescens var. frutescens,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1194650,VASCULAR PLANTS,G5TNR,S1,None,None,7,Y
Carolina yellow-eyed grass,Xyris caroliniana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.147461,VASCULAR PLANTS,G4G5,S1,None,None,6,Y
Fringed yellow-eyed grass,Xyris fimbriata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.159348,VASCULAR PLANTS,G5,S1,None,None,6,Y
Iris-leaf yellow-eyed grass,Xyris iridifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146424,VASCULAR PLANTS,G4G5T4T5,S1,None,None,5,Y
Tall yellow-eyed grass,Xyris platylepis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148910,VASCULAR PLANTS,G5,S2,None,None,15,Y
Dusty Zenobia,Zenobia pulverulenta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129185,VASCULAR PLANTS,G4?,S1,None,None,4,N
Large Death-camas,Zigadenus glaberrimus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.140905,VASCULAR PLANTS,G5,S1,None,None,9,Y
Viperina,Zornia bracteata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141902,VASCULAR PLANTS,G5?,S1,None,None,5,Y
